,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,helpful_numerator,helpful_denominator,unhelpful,metric,classification
10,A3FZ9YRXKIJ5I3,B000NZUX4U,Maheen,"[1, 1]",i love this bracelet the bracelet itself is of course gorgeous its so pretty and the red beads make it stand out even more  the words carved into it match the message in the box  now it comes in a very cute little box that makes great for gifts and the best thing is the message i love it its a great buy great for birthday presents christmas presents and presents for yourself ,5.0,"Beautiful Bracelet, Great Messages",1345766400,"08 24, 2012",1,1,0,1.0,1
16,A3UCQMO2JFD6F8,B007DM6S72,H Lain,"[2, 7]",for some strange reason the ones that are navy blue which naturally is the color i need cost almost twice as much as any of the other colors with higher shipping costs and come from another supplier and a possible 23 week in shipping time has been indicated after i placed the order it always pays to check every order closely because a lot of things on amazoncom just do not make any sense,1.0,Don't buy the Navy Blue!,1390521600,"01 24, 2014",2,7,5,-0.42857142857142855,0
25,A1ZKTQ0O7U3GT,B0003DJD0C,brian j conway,"[1, 1]",this are big boy type suspenders the only drawback is they tend to come undone when your pants are down,4.0,heavy duty,1393804800,"03 3, 2014",1,1,0,1.0,1
26,A3GM42TTJCO1EP,B008KYXDY8,"Sarah Hill ""orchidsand""","[0, 1]",fit is ok but color like day glow i wear zoris everyday with tabi socks in winter i really wanted a pink to replace a beloved old pair that got puppyed and these do not go with the clothing i prefere to wear a little disappointed if youlove brights you may really like them,4.0,"Too bright in color, but comfortable",1378598400,"09 8, 2013",0,1,1,-1.0,0
31,A1DJ6E2HASWLE6,B000O32MLI,"j&a ""jerandali""","[1, 1]",these are great casual lightweight sandals that are cushy and mold to your feet  they are also great for wearing inaround water  i bought a pair for myself and my hubby who loves his as well  our only complaint is that these sandals get dirty easily  we both got black so it is always a little dusty on the outside makes it look like dark grey and when we wear around the yard or around town we often get dust pebbles and grass in our shoes  i suppose if you wore them where there was zero debris on the ground theyd be the perfect shoes  they are also easy to clean however  just damp paper towel or cloth wipes it clean  fairly good traction below too,4.0,"Comfy sandals, but gets dirty easily",1215820800,"07 12, 2008",1,1,0,1.0,1
42,A1VJQ4S2AANBG2,B005HBDP9K,Michelle B,"[0, 2]",i love the design of this product bathroom ease is important to meit is also very comfortable and not constricting after a long day like some othersi highly recommend this girdle to others,5.0,Easy,1392508800,"02 16, 2014",0,2,2,-1.0,0
44,A1OH0I99ZJSFYC,B00A4CTM2Q,"Keith Dailey ""I'm Jus' Sayin'""","[0, 1]",i love this ring and get compliments on it all the time everyhere i go this is one of the most worn pieces of jewelry i have and its very comfortable too love the craftsmanship and design thumbs up,5.0,Great Piece of Work!,1384128000,"11 11, 2013",0,1,1,-1.0,0
54,A4KU0XJNBH674,B002NH2KM4,Army O3Guy,"[0, 1]",been a 34front34 pocket wallet guy forever my last one started to fall apart and i came across this company via reviews just got it in the mail and its perfect for me i carry 2 cards and 2 forms of id thats all anyone every needs really nice snug fit beautiful leather thats clearly going to get better with age and very well made the stitching is superb leather high quality and is very pretty to look at its a little thicker than my old wallet however its a much better quality so itll do,5.0,Last Wallet I'll Ever Need,1355702400,"12 17, 2012",0,1,1,-1.0,0
61,AV1K65I0QUUK2,B000FJD5WG,dom,"[1, 1]",this toy is very accurate i shot a fly that was 4ft away and the bullets are soft enough that it didnt kill the fly,4.0,these are well built.,1393200000,"02 24, 2014",1,1,0,1.0,1
69,A3TB6CLE7BQ9JN,B0007X9F7E,Courtney Mecham,"[2, 2]",gave this watch to my husband as a gift and he loves it very lightweight and comfortable hes a watch guy and chooses this one over the other watches he has the big problem is that about three months after he got the watch the face cracked he still wears it because he likes it so much and i think he would want it again even knowing it would break he likes it that much its a pretty cheap watch so its not the end of the world to replace however this cracked face is really annoying,3.0,Great Watch Except for Cracked Face,1315785600,"09 12, 2011",2,2,0,1.0,1
